R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.47000D+12 0.15849D+15   0.0150   38.662   32.204   45.058
 0.47000D+12 0.17783D+15   0.0150   34.259   27.950   40.521
 0.47000D+12 0.19953D+15   0.0150   30.187   24.065   36.279
 0.47000D+12 0.22387D+15   0.0150   26.476   20.674   32.351
 0.47000D+12 0.25119D+15   0.0150   24.190   20.266   29.130
 0.47000D+12 0.28184D+15   0.0150   22.727   20.207   26.374
 0.47000D+12 0.31623D+15   0.0150   21.923   20.202   24.167
 0.47000D+12 0.35481D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.39811D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.44668D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.50119D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.56234D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.63096D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.70795D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.79433D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.89125D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.10000D+16   0.0150   21.801   20.202   23.433
 0.48000D+12 0.10000D+14   0.0150  130.424  126.880  133.695
 0.48000D+12 0.11220D+14   0.0150  128.938  125.139  132.452
 0.48000D+12 0.12589D+14   0.0150  127.305  123.244  131.080
 0.48000D+12 0.14125D+14   0.0150  125.507  121.180  129.544
 0.48000D+12 0.15849D+14   0.0150  123.525  118.925  127.840
 0.48000D+12 0.17783D+14   0.0150  121.338  116.476  125.923
 0.48000D+12 0.19953D+14   0.0150  118.925  113.794  123.787
 0.48000D+12 0.22387D+14   0.0150  116.263  110.883  121.384
 0.48000D+12 0.25119D+14   0.0150  113.330  107.711  118.708
 0.48000D+12 0.28184D+14   0.0150  110.106  104.265  115.715
 0.48000D+12 0.31623D+14   0.0150  106.576  100.541  112.408
 0.48000D+12 0.35481D+14   0.0150  102.729   96.508  108.756
 0.48000D+12 0.39811D+14   0.0150   98.565   92.185  104.770
 0.48000D+12 0.44668D+14   0.0150   94.092   87.579  100.453
 0.48000D+12 0.50119D+14   0.0150   89.333   82.709   95.822
 0.48000D+12 0.56234D+14   0.0150   84.320   77.599   90.911
 0.48000D+12 0.63096D+14   0.0150   79.099   72.305   85.779
 0.48000D+12 0.70795D+14   0.0150   73.727   66.882   80.468
 0.48000D+12 0.79433D+14   0.0150   68.266   61.393   75.045
 0.48000D+12 0.89125D+14   0.0150   62.785   55.907   69.575
 0.48000D+12 0.10000D+15   0.0150   57.353   50.494   64.130
 0.48000D+12 0.11220D+15   0.0150   52.038   45.223   58.776
 0.48000D+12 0.12589D+15   0.0150   46.902   40.159   53.572
 0.48000D+12 0.14125D+15   0.0150   41.999   35.347   48.579
 0.48000D+12 0.15849D+15   0.0150   37.374   30.847   43.839
 0.48000D+12 0.17783D+15   0.0150   33.061   26.699   39.379
 0.48000D+12 0.19953D+15   0.0150   29.084   22.921   35.217
 0.48000D+12 0.22387D+15   0.0150   25.658   20.302   31.441
 0.48000D+12 0.25119D+15   0.0150   23.640   20.063   28.357
 0.48000D+12 0.28184D+15   0.0150   22.331   20.028   25.700
 0.48000D+12 0.31623D+15   0.0150   21.676   20.026   23.659
 0.48000D+12 0.35481D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.39811D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.44668D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.50119D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.56234D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.63096D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.70795D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.79433D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.89125D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.10000D+16   0.0150   21.632   20.026   23.274
 0.49000D+12 0.10000D+14   0.0150  130.023  126.362  133.403
 0.49000D+12 0.11220D+14   0.0150  128.498  124.573  132.130
 0.49000D+12 0.12589D+14   0.0150  126.820  122.628  130.720
 0.49000D+12 0.14125D+14   0.0150  124.973  120.507  129.144
 0.49000D+12 0.15849D+14   0.0150  122.936  118.193  127.390
 0.49000D+12 0.17783D+14   0.0150  120.689  115.676  125.419
 0.49000D+12 0.19953D+14   0.0150  118.209  112.926  123.218
 0.49000D+12 0.22387D+14   0.0150  115.474  109.941  120.746
 0.49000D+12 0.25119D+14   0.0150  112.462  106.687  117.991
 0.49000D+12 0.28184D+14   0.0150  109.154  103.160  114.916
 0.49000D+12 0.31623D+14   0.0150  105.536   99.347  111.520
 0.49000D+12 0.35481D+14   0.0150  101.601   95.229  107.775
 0.49000D+12 0.39811D+14   0.0150   97.349   90.821  103.701
 0.49000D+12 0.44668D+14   0.0150   92.794   86.136   99.297
 0.49000D+12 0.50119D+14   0.0150   87.959   81.194   94.586
 0.49000D+12 0.56234D+14   0.0150   82.882   76.024   89.608
 0.49000D+12 0.63096D+14   0.0150   77.612   70.686   84.420
 0.49000D+12 0.70795D+14   0.0150   72.206   65.235   79.071
 0.49000D+12 0.79433D+14   0.0150   66.731   59.738   73.626
 0.49000D+12 0.89125D+14   0.0150   61.255   54.263   68.154
 0.49000D+12 0.10000D+15   0.0150   55.846   48.882   62.725
 0.49000D+12 0.11220D+15   0.0150   50.573   43.662   57.403
 0.49000D+12 0.12589D+15   0.0150   45.494   38.662   52.248
 0.49000D+12 0.14125D+15   0.0150   40.663   33.934   47.321
 0.49000D+12 0.15849D+15   0.0150   36.121   29.533   42.652
 0.49000D+12 0.17783D+15   0.0150   31.900   25.494   38.268
 0.49000D+12 0.19953D+15   0.0150   28.018   21.822   34.189
 0.49000D+12 0.22387D+15   0.0150   24.961   20.021   30.598
 0.49000D+12 0.25119D+15   0.0150   23.134   19.871   27.607
 0.49000D+12 0.28184D+15   0.0150   21.970   19.853   25.052
 0.49000D+12 0.31623D+15   0.0150   21.472   19.852   23.232
 0.49000D+12 0.35481D+15   0.0150   21.466   19.852   23.118
