R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   41.22   49.51 0.88440D-09  1  0  0.01019  268.97  268.40 0.10734D+15  2.204   10.948   10.377    5.506   37.876   11.05   13.30   40.95
   41.54   49.91 0.87773D-09  1  0  0.01022  268.93  268.39 0.10715D+15  2.204   10.863   10.292    5.461   37.832   11.05   13.30   41.28
   41.86   50.30 0.87115D-09  1  0  0.01025  268.89  268.37 0.10696D+15  2.204   10.779   10.209    5.417   37.788   11.06   13.31   41.61
   42.18   50.69 0.86468D-09  1  0  0.01028  268.86  268.36 0.10677D+15  2.205   10.697   10.127    5.373   37.744   11.07   13.31   41.94
   42.50   51.09 0.85831D-09  1  0  0.01031  268.82  268.34 0.10658D+15  2.205   10.616   10.046    5.329   37.700   11.08   13.31   42.27
   42.83   51.48 0.85204D-09  1  0  0.01034  268.78  268.33 0.10639D+15  2.205   10.536    9.966    5.285   37.657   11.09   13.31   42.60
   43.15   51.87 0.84585D-09  1  0  0.01037  268.74  268.31 0.10621D+15  2.205   10.457    9.887    5.242   37.614   11.09   13.31   42.93
   43.47   52.26 0.83976D-09  1  0  0.01040  268.71  268.29 0.10602D+15  2.206   10.380    9.810    5.199   37.571   11.10   13.31   43.26
   43.79   52.66 0.83376D-09  1  0  0.01043  268.67  268.28 0.10584D+15  2.206   10.303    9.733    5.157   37.529   11.11   13.32   43.59
   44.11   53.05 0.82785D-09  1  0  0.01046  268.63  268.26 0.10566D+15  2.206   10.228    9.658    5.114   37.487   11.12   13.32   43.92
   44.44   53.45 0.82202D-09  1  0  0.01049  268.60  268.24 0.10548D+15  2.207   10.154    9.584    5.072   37.445   11.13   13.32   44.25
   44.76   53.84 0.81628D-09  1  0  0.01053  268.56  268.23 0.10530D+15  2.207   10.081    9.511    5.030   37.403   11.13   13.32   44.59
   45.08   54.23 0.81062D-09  1  0  0.01056  268.52  268.21 0.10512D+15  2.207   10.009    9.439    4.988   37.362   11.14   13.33   44.92
   45.40   54.63 0.80503D-09  1  0  0.01059  268.48  268.19 0.10494D+15  2.208    9.938    9.368    4.947   37.321   11.15   13.33   45.25
   45.72   55.02 0.79953D-09  1  0  0.01062  268.45  268.17 0.10477D+15  2.208    9.867    9.298    4.905   37.280   11.16   13.33   45.58
   46.05   55.41 0.79411D-09  1  0  0.01065  268.41  268.16 0.10459D+15  2.208    9.798    9.229    4.864   37.239   11.16   13.33   45.91
   46.37   55.81 0.78876D-09  1  0  0.01069  268.37  268.14 0.10442D+15  2.209    9.730    9.161    4.823   37.199   11.17   13.34   46.24
   46.69   56.20 0.78348D-09  1  0  0.01072  268.33  268.12 0.10425D+15  2.209    9.663    9.094    4.783   37.159   11.18   13.34   46.57
   47.01   56.60 0.77827D-09  1  0  0.01075  268.30  268.10 0.10408D+15  2.209    9.597    9.027    4.742   37.119   11.18   13.34   46.91
   47.33   56.99 0.77314D-09  1  0  0.01078  268.26  268.09 0.10391D+15  2.210    9.531    8.962    4.702   37.079   11.19   13.34   47.24
   47.66   57.38 0.76808D-09  1  0  0.01082  268.22  268.07 0.10374D+15  2.210    9.467    8.898    4.662   37.040   11.20   13.35   47.57
   47.98   57.78 0.76308D-09  1  0  0.01085  268.18  268.05 0.10358D+15  2.210    9.403    8.834    4.622   37.000   11.21   13.35   47.90
   48.30   58.17 0.75815D-09  1  0  0.01088  268.15  268.03 0.10341D+15  2.211    9.340    8.771    4.583   36.961   11.21   13.35   48.24
   48.62   58.57 0.75329D-09  1  0  0.01092  268.11  268.01 0.10325D+15  2.211    9.278    8.709    4.543   36.922   11.22   13.36   48.57
   48.94   58.96 0.74849D-09  1  0  0.01095  268.07  267.99 0.10309D+15  2.211    9.217    8.648    4.504   36.884   11.23   13.36   48.90
   49.27   59.36 0.74375D-09  1  0  0.01099  268.03  267.98 0.10292D+15  2.212    9.157    8.588    4.465   36.845   11.23   13.36   49.23
   49.59   59.75 0.73908D-09  1  0  0.01102  267.99  267.96 0.10276D+15  2.212    9.097    8.528    4.426   36.807   11.24   13.37   49.57
   49.91   60.15 0.73446D-09  1  0  0.01106  267.96  267.94 0.10260D+15  2.212    9.038    8.470    4.388   36.769   11.25   13.37   49.90
   50.23   60.54 0.72990D-09  1  0  0.01109  267.92  267.92 0.10244D+15  2.213    8.980    8.412    4.349   36.731   11.25   13.37   50.23
   50.55   60.93 0.72541D-09  1  0  0.01112  267.88  267.90 0.10229D+15  2.213    8.923    8.354    4.311   36.694   11.26   13.38   50.55
   50.88   61.32 0.72097D-09  1  0  0.01116  267.84  267.88 0.10213D+15  2.213    8.866    8.298    4.273   36.656   11.27   13.38   50.88
   51.20   61.70 0.71658D-09  1  0  0.01120  267.80  267.86 0.10198D+15  2.214    8.810    8.242    4.235   36.619   11.27   13.38   51.20
   51.52   62.09 0.71225D-09  1  0  0.01123  267.76  267.84 0.10182D+15  2.214    8.755    8.187    4.197   36.582   11.28   13.39   51.52
   51.84   62.48 0.70797D-09  1  0  0.01127  267.72  267.82 0.10167D+15  2.214    8.701    8.132    4.159   36.545   11.28   13.39   51.84
   52.16   62.87 0.70375D-09  1  0  0.01130  267.69  267.80 0.10152D+15  2.215    8.647    8.079    4.122   36.508   11.29   13.40   52.16
   52.49   63.26 0.69958D-09  1  0  0.01134  267.65  267.78 0.10136D+15  2.215    8.594    8.025    4.084   36.472   11.30   13.40   52.49
   52.81   63.64 0.69546D-09  1  0  0.01138  267.61  267.76 0.10121D+15  2.215    8.541    7.973    4.047   36.436   11.30   13.40   52.81
   53.13   64.03 0.69139D-09  1  0  0.01141  267.57  267.74 0.10107D+15  2.216    8.489    7.921    4.010   36.399   11.31   13.41   53.13
   53.45   64.42 0.68737D-09  1  0  0.01145  267.53  267.72 0.10092D+15  2.216    8.438    7.870    3.973   36.363   11.32   13.41   53.45
   53.77   64.81 0.68339D-09  1  0  0.01149  267.49  267.70 0.10077D+15  2.216    8.387    7.819    3.936   36.327   11.32   13.41   53.77
   54.10   65.20 0.67947D-09  1  0  0.01152  267.45  267.68 0.10062D+15  2.217    8.337    7.769    3.900   36.292   11.33   13.42   54.10
   54.42   65.58 0.67559D-09  1  0  0.01156  267.41  267.66 0.10048D+15  2.217    8.288    7.720    3.863   36.256   11.33   13.42   54.42
   54.74   65.97 0.67175D-09  1  0  0.01160  267.37  267.64 0.10034D+15  2.217    8.239    7.671    3.827   36.221   11.34   13.43   54.74
   55.06   66.36 0.66796D-09  1  0  0.01164  267.33  267.62 0.10019D+15  2.218    8.190    7.623    3.791   36.185   11.35   13.43   55.06
   55.38   66.75 0.66422D-09  1  0  0.01168  267.29  267.60 0.10005D+15  2.218    8.143    7.575    3.754   36.150   11.35   13.43   55.38
   55.71   67.14 0.66052D-09  1  0  0.01171  267.25  267.58 0.99908D+14  2.218    8.095    7.528    3.718   36.115   11.36   13.44   55.71
   56.03   67.52 0.65686D-09  1  0  0.01175  267.22  267.55 0.99768D+14  2.219    8.049    7.481    3.683   36.081   11.36   13.44   56.03
   56.35   67.91 0.65324D-09  1  0  0.01179  267.18  267.53 0.99628D+14  2.219    8.002    7.435    3.647   36.046   11.37   13.45   56.35
   56.67   68.30 0.64967D-09  1  0  0.01183  267.14  267.51 0.99490D+14  2.219    7.957    7.389    3.611   36.011   11.38   13.45   56.67
   56.99   68.69 0.64613D-09  1  0  0.01187  267.10  267.49 0.99352D+14  2.220    7.912    7.344    3.576   35.977   11.38   13.46   56.99
