R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.55556D-09 0.78000D+12 0.10000D+16   0.0150  1   51.520  0.01688  267.55  268.11   -3.834   21.888   20.24
 0.33981D-09 0.79500D+12 0.19953D+15   0.0150  1   87.906  0.02602  262.15  263.89    0.436   26.351   14.77
 0.42066D-09 0.79500D+12 0.22387D+15   0.0150  1   70.196  0.02065  265.00  265.99    1.487   27.319   14.67
 0.48227D-09 0.79500D+12 0.25119D+15   0.0150  1   60.858  0.01859  266.32  267.04    1.709   27.541   14.76
 0.54330D-09 0.79500D+12 0.28184D+15   0.0150  1   53.774  0.01727  267.26  267.82    1.736   27.582   14.89
 0.60665D-09 0.79500D+12 0.31623D+15   0.0150  1   47.978  0.01631  268.00  268.45    1.666   27.528   15.04
 0.67737D-09 0.79500D+12 0.35481D+15   0.0150  1   42.826  0.01554  268.63  268.99    1.561   27.439   15.20
 0.75486D-09 0.79500D+12 0.39811D+15   0.0150  1   38.318  0.01492  269.16  269.47    1.421   27.315   15.36
 0.84515D-09 0.79500D+12 0.44668D+15   0.0150  1   34.132  0.01438  269.65  269.88    1.281   27.188   15.52
 0.91262D-09 0.79500D+12 0.50119D+15   0.0150  1   31.556  0.01407  269.94  270.22    0.984   26.907   15.74
 0.86104D-09 0.79500D+12 0.56234D+15   0.0150  1   33.488  0.01430  269.72  270.43    0.177   26.132   16.16
 0.48227D-09 0.79500D+12 0.63096D+15   0.0150  1   60.858  0.01859  266.32  267.13   -2.513   23.642   18.49
 0.51089D-09 0.79500D+12 0.70795D+15   0.0150  1   57.316  0.01790  266.80  267.46   -2.894   23.277   18.88
 0.53404D-09 0.79500D+12 0.79433D+15   0.0150  1   54.740  0.01743  267.14  267.78   -3.295   22.895   19.27
 0.56284D-09 0.79500D+12 0.89125D+15   0.0150  1   51.842  0.01693  267.51  268.07   -3.682   22.521   19.67
 0.59128D-09 0.79500D+12 0.10000D+16   0.0150  1   49.266  0.01651  267.84  268.34   -4.071   22.145   20.07
 0.40558D-09 0.81000D+12 0.19953D+15   0.0150  1   74.382  0.02172  264.37  265.50    1.394   27.717   14.36
 0.46765D-09 0.81000D+12 0.22387D+15   0.0150  1   64.078  0.01925  265.88  266.69    1.712   28.027   14.43
 0.53206D-09 0.81000D+12 0.25119D+15   0.0150  1   56.028  0.01767  266.97  267.57    1.824   28.148   14.54
 0.59491D-09 0.81000D+12 0.28184D+15   0.0150  1   49.910  0.01662  267.75  268.24    1.774   28.115   14.69
 0.66584D-09 0.81000D+12 0.31623D+15   0.0150  1   44.436  0.01577  268.43  268.82    1.689   28.047   14.84
 0.74471D-09 0.81000D+12 0.35481D+15   0.0150  1   39.606  0.01509  269.01  269.32    1.569   27.944   14.99
 0.83047D-09 0.81000D+12 0.39811D+15   0.0150  1   35.420  0.01454  269.50  269.75    1.415   27.804   15.15
