R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   28.01   33.42 0.12385D-08  1  0  0.01366  270.34  268.51 0.12143D+15  2.192   16.098   15.525    8.438   39.489   10.77   13.52   27.45
   28.34   33.81 0.12247D-08  1  0  0.01369  270.30  268.50 0.12116D+15  2.192   15.915   15.343    8.373   39.423   10.79   13.51   27.78
   28.66   34.20 0.12112D-08  1  0  0.01373  270.27  268.49 0.12089D+15  2.192   15.736   15.164    8.308   39.357   10.80   13.51   28.10
   28.98   34.59 0.11980D-08  1  0  0.01377  270.23  268.48 0.12062D+15  2.193   15.561   14.989    8.245   39.293   10.81   13.50   28.43
   29.30   34.98 0.11851D-08  1  0  0.01380  270.19  268.47 0.12036D+15  2.193   15.390   14.818    8.182   39.229   10.83   13.49   28.75
   29.62   35.37 0.11724D-08  1  0  0.01384  270.16  268.46 0.12010D+15  2.193   15.223   14.651    8.119   39.165   10.84   13.49   29.08
   29.95   35.77 0.11601D-08  1  0  0.01388  270.12  268.45 0.11984D+15  2.194   15.059   14.487    8.058   39.103   10.85   13.48   29.41
   30.27   36.16 0.11480D-08  1  0  0.01391  270.09  268.44 0.11958D+15  2.194   14.899   14.327    7.997   39.041   10.87   13.48   29.73
   30.59   36.55 0.11361D-08  1  0  0.01395  270.05  268.43 0.11933D+15  2.194   14.742   14.170    7.936   38.979   10.88   13.48   30.06
   30.91   36.94 0.11245D-08  1  0  0.01399  270.01  268.42 0.11908D+15  2.194   14.589   14.017    7.876   38.919   10.89   13.47   30.38
   31.23   37.33 0.11132D-08  1  0  0.01403  269.98  268.40 0.11883D+15  2.195   14.438   13.866    7.817   38.859   10.90   13.47   30.71
   31.56   37.72 0.11020D-08  1  0  0.01407  269.94  268.39 0.11859D+15  2.195   14.291   13.719    7.758   38.799   10.91   13.46   31.04
   31.88   38.11 0.10911D-08  1  0  0.01411  269.90  268.38 0.11834D+15  2.195   14.147   13.575    7.700   38.740   10.93   13.46   31.36
   32.20   38.50 0.10804D-08  1  0  0.01414  269.87  268.37 0.11810D+15  2.196   14.005   13.433    7.643   38.682   10.94   13.46   31.69
   32.52   38.89 0.10700D-08  1  0  0.01418  269.83  268.36 0.11787D+15  2.196   13.866   13.294    7.586   38.624   10.95   13.46   32.02
   32.84   39.28 0.10597D-08  1  0  0.01422  269.80  268.34 0.11763D+15  2.196   13.730   13.159    7.529   38.567   10.96   13.45   32.34
   33.17   39.67 0.10496D-08  1  0  0.01426  269.76  268.33 0.11740D+15  2.197   13.597   13.025    7.473   38.510   10.97   13.45   32.67
   33.49   40.06 0.10397D-08  1  0  0.01430  269.72  268.32 0.11717D+15  2.197   13.466   12.894    7.418   38.454   10.98   13.45   33.00
   33.81   40.45 0.10301D-08  1  0  0.01434  269.69  268.31 0.11694D+15  2.197   13.338   12.766    7.362   38.398   11.00   13.45   33.32
   34.13   40.85 0.10206D-08  1  0  0.01438  269.65  268.29 0.11672D+15  2.198   13.212   12.640    7.308   38.343   11.01   13.45   33.65
   34.45   41.24 0.10112D-08  1  0  0.01442  269.61  268.28 0.11649D+15  2.198   13.088   12.517    7.254   38.288   11.02   13.45   33.98
