R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.46000D+12 0.11220D+14   0.0150   11.666   10.755   12.662
 0.46000D+12 0.12589D+14   0.0150   11.752   10.857   12.731
 0.46000D+12 0.14125D+14   0.0150   11.841   10.964   12.800
 0.46000D+12 0.15849D+14   0.0150   11.934   11.076   12.871
 0.46000D+12 0.17783D+14   0.0150   12.032   11.193   12.943
 0.46000D+12 0.19953D+14   0.0150   12.134   11.316   13.019
 0.46000D+12 0.22387D+14   0.0150   12.241   11.445   13.099
 0.46000D+12 0.25119D+14   0.0150   12.355   11.578   13.185
 0.46000D+12 0.28184D+14   0.0150   12.475   11.717   13.279
 0.46000D+12 0.31623D+14   0.0150   12.601   11.860   13.383
 0.46000D+12 0.35481D+14   0.0150   12.734   12.008   13.497
 0.46000D+12 0.39811D+14   0.0150   12.875   12.160   13.621
 0.46000D+12 0.44668D+14   0.0150   13.022   12.316   13.756
 0.46000D+12 0.50119D+14   0.0150   13.176   12.475   13.901
 0.46000D+12 0.56234D+14   0.0150   13.335   12.638   14.056
 0.46000D+12 0.63096D+14   0.0150   13.499   12.802   14.218
 0.46000D+12 0.70795D+14   0.0150   13.667   12.967   14.388
 0.46000D+12 0.79433D+14   0.0150   13.836   13.130   14.562
 0.46000D+12 0.89125D+14   0.0150   14.005   13.292   14.740
 0.46000D+12 0.10000D+15   0.0150   14.173   13.448   14.918
 0.46000D+12 0.11220D+15   0.0150   14.337   13.599   15.097
 0.46000D+12 0.12589D+15   0.0150   14.496   13.741   15.274
 0.46000D+12 0.14125D+15   0.0150   14.649   13.871   15.449
 0.46000D+12 0.15849D+15   0.0150   14.794   13.988   15.620
 0.46000D+12 0.17783D+15   0.0150   14.931   14.092   15.788
 0.46000D+12 0.19953D+15   0.0150   15.058   14.179   15.950
 0.46000D+12 0.22387D+15   0.0150   15.175   14.247   16.109
 0.46000D+12 0.25119D+15   0.0150   17.045   14.526   21.871
 0.46000D+12 0.28184D+15   0.0150   18.388   15.178   22.610
 0.46000D+12 0.31623D+15   0.0150   19.895   16.128   23.305
 0.46000D+12 0.35481D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.39811D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.44668D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.50119D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.56234D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.63096D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.70795D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.79433D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.89125D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.10000D+16   0.0150   21.972   20.382   23.595
 0.47000D+12 0.10000D+14   0.0150   11.471   10.552   12.477
 0.47000D+12 0.11220D+14   0.0150   11.553   10.649   12.544
 0.47000D+12 0.12589D+14   0.0150   11.639   10.751   12.613
 0.47000D+12 0.14125D+14   0.0150   11.729   10.858   12.681
 0.47000D+12 0.15849D+14   0.0150   11.822   10.970   12.751
 0.47000D+12 0.17783D+14   0.0150   11.919   11.088   12.823
 0.47000D+12 0.19953D+14   0.0150   12.022   11.211   12.899
 0.47000D+12 0.22387D+14   0.0150   12.130   11.340   12.979
 0.47000D+12 0.25119D+14   0.0150   12.243   11.473   13.066
 0.47000D+12 0.28184D+14   0.0150   12.364   11.612   13.161
 0.47000D+12 0.31623D+14   0.0150   12.490   11.755   13.266
 0.47000D+12 0.35481D+14   0.0150   12.624   11.902   13.381
 0.47000D+12 0.39811D+14   0.0150   12.765   12.054   13.506
 0.47000D+12 0.44668D+14   0.0150   12.912   12.209   13.643
 0.47000D+12 0.50119D+14   0.0150   13.066   12.368   13.789
 0.47000D+12 0.56234D+14   0.0150   13.225   12.529   13.944
 0.47000D+12 0.63096D+14   0.0150   13.388   12.692   14.107
 0.47000D+12 0.70795D+14   0.0150   13.554   12.855   14.276
 0.47000D+12 0.79433D+14   0.0150   13.722   13.016   14.449
 0.47000D+12 0.89125D+14   0.0150   13.889   13.174   14.625
 0.47000D+12 0.10000D+15   0.0150   14.054   13.327   14.802
 0.47000D+12 0.11220D+15   0.0150   14.215   13.474   14.979
 0.47000D+12 0.12589D+15   0.0150   14.371   13.611   15.154
 0.47000D+12 0.14125D+15   0.0150   14.520   13.736   15.326
 0.47000D+12 0.15849D+15   0.0150   14.661   13.847   15.495
 0.47000D+12 0.17783D+15   0.0150   14.793   13.945   15.659
 0.47000D+12 0.19953D+15   0.0150   14.916   14.025   15.820
 0.47000D+12 0.22387D+15   0.0150   15.165   14.087   20.830
 0.47000D+12 0.25119D+15   0.0150   17.266   14.506   21.866
 0.47000D+12 0.28184D+15   0.0150   18.525   15.227   22.603
 0.47000D+12 0.31623D+15   0.0150   20.104   16.179   23.230
 0.47000D+12 0.35481D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.39811D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.44668D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.50119D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.56234D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.63096D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.70795D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.79433D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.89125D+15   0.0150   21.801   20.202   23.433
 0.47000D+12 0.10000D+16   0.0150   21.801   20.202   23.433
 0.48000D+12 0.10000D+14   0.0150   11.361   10.448   12.362
 0.48000D+12 0.11220D+14   0.0150   11.444   10.546   12.429
 0.48000D+12 0.12589D+14   0.0150   11.529   10.648   12.497
 0.48000D+12 0.14125D+14   0.0150   11.619   10.755   12.565
 0.48000D+12 0.15849D+14   0.0150   11.712   10.868   12.634
 0.48000D+12 0.17783D+14   0.0150   11.810   10.986   12.706
 0.48000D+12 0.19953D+14   0.0150   11.912   11.109   12.781
 0.48000D+12 0.22387D+14   0.0150   12.021   11.237   12.862
 0.48000D+12 0.25119D+14   0.0150   12.135   11.371   12.950
 0.48000D+12 0.28184D+14   0.0150   12.255   11.509   13.046
 0.48000D+12 0.31623D+14   0.0150   12.383   11.652   13.152
 0.48000D+12 0.35481D+14   0.0150   12.517   11.799   13.268
 0.48000D+12 0.39811D+14   0.0150   12.658   11.951   13.395
 0.48000D+12 0.44668D+14   0.0150   12.805   12.105   13.532
 0.48000D+12 0.50119D+14   0.0150   12.959   12.263   13.679
 0.48000D+12 0.56234D+14   0.0150   13.117   12.423   13.834
 0.48000D+12 0.63096D+14   0.0150   13.279   12.584   13.997
 0.48000D+12 0.70795D+14   0.0150   13.444   12.745   14.166
 0.48000D+12 0.79433D+14   0.0150   13.610   12.903   14.339
 0.48000D+12 0.89125D+14   0.0150   13.775   13.059   14.513
 0.48000D+12 0.10000D+15   0.0150   13.937   13.208   14.688
 0.48000D+12 0.11220D+15   0.0150   14.095   13.351   14.863
 0.48000D+12 0.12589D+15   0.0150   14.248   13.482   15.036
 0.48000D+12 0.14125D+15   0.0150   14.393   13.602   15.205
 0.48000D+12 0.15849D+15   0.0150   14.530   13.708   15.372
 0.48000D+12 0.17783D+15   0.0150   14.658   13.799   15.534
 0.48000D+12 0.19953D+15   0.0150   14.777   13.873   15.692
 0.48000D+12 0.22387D+15   0.0150   15.840   13.969   21.060
 0.48000D+12 0.25119D+15   0.0150   17.413   14.509   21.988
 0.48000D+12 0.28184D+15   0.0150   18.662   15.185   22.648
 0.48000D+12 0.31623D+15   0.0150   20.392   16.219   23.123
 0.48000D+12 0.35481D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.39811D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.44668D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.50119D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.56234D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.63096D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.70795D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.79433D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.89125D+15   0.0150   21.632   20.026   23.274
 0.48000D+12 0.10000D+16   0.0150   21.632   20.026   23.274
 0.49000D+12 0.10000D+14   0.0150   11.254   10.347   12.249
 0.49000D+12 0.11220D+14   0.0150   11.337   10.445   12.316
 0.49000D+12 0.12589D+14   0.0150   11.422   10.547   12.383
 0.49000D+12 0.14125D+14   0.0150   11.512   10.655   12.451
 0.49000D+12 0.15849D+14   0.0150   11.605   10.768   12.520
 0.49000D+12 0.17783D+14   0.0150   11.703   10.886   12.591
 0.49000D+12 0.19953D+14   0.0150   11.806   11.009   12.667
 0.49000D+12 0.22387D+14   0.0150   11.914   11.138   12.748
 0.49000D+12 0.25119D+14   0.0150   12.029   11.271   12.837
