R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.17309D-08 0.23125D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  291.67  -30.114   47.266    9.43
 0.17402D-08 0.23250D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  291.82  -30.312   47.488    9.39
 0.17496D-08 0.23375D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  291.98  -30.511   47.710    9.35
 0.17589D-08 0.23500D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  292.14  -30.709   47.932    9.30
 0.17683D-08 0.23625D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  292.29  -30.907   48.154    9.26
 0.17891D-08 0.23750D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  292.39  -31.146   48.326    9.23
 0.17985D-08 0.23875D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  292.55  -31.344   48.548    9.19
 0.18079D-08 0.24000D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  292.70  -31.542   48.771    9.15
 0.18173D-08 0.24125D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  292.86  -31.739   48.994    9.10
 0.18267D-08 0.24250D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  293.01  -31.937   49.216    9.06
 0.18361D-08 0.24375D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  293.16  -32.134   49.440    9.02
 0.18456D-08 0.24500D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  293.31  -32.331   49.663    8.98
 0.18550D-08 0.24625D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  293.47  -32.528   49.886    8.94
 0.18764D-08 0.24750D+13 0.10000D+16   0.0000  1   48.300  0.00000  268.37  293.56  -32.768   50.056    8.91
 0.18859D-08 0.24875D+13 0.10000D+16   0.0000  1   48.300  0.00000  268.37  293.71  -32.965   50.279    8.87
 0.18954D-08 0.25000D+13 0.10000D+16   0.0000  1   48.300  0.00000  268.37  293.86  -33.161   50.503    8.84
 0.19049D-08 0.25125D+13 0.10000D+16   0.0000  1   48.300  0.00000  268.37  294.01  -33.358   50.727    8.80
 0.19143D-08 0.25250D+13 0.10000D+16   0.0000  1   48.300  0.00000  268.37  294.16  -33.554   50.951    8.76
 0.19238D-08 0.25375D+13 0.10000D+16   0.0000  1   48.300  0.00000  268.37  294.31  -33.750   51.175    8.72
 0.19333D-08 0.25500D+13 0.10000D+16   0.0000  1   48.300  0.00000  268.37  294.46  -33.945   51.400    8.68
 0.19554D-08 0.25625D+13 0.10000D+16   0.0000  1   47.978  0.00000  268.40  294.55  -34.188   51.567    8.66
 0.19649D-08 0.25750D+13 0.10000D+16   0.0000  1   47.978  0.00000  268.40  294.70  -34.383   51.791    8.62
 0.19745D-08 0.25875D+13 0.10000D+16   0.0000  1   47.978  0.00000  268.40  294.85  -34.579   52.016    8.58
 0.19840D-08 0.26000D+13 0.10000D+16   0.0000  1   47.978  0.00000  268.40  295.00  -34.774   52.241    8.55
 0.19936D-08 0.26125D+13 0.10000D+16   0.0000  1   47.978  0.00000  268.40  295.14  -34.969   52.466    8.51
