R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.13500D+12 0.14125D+14   0.0150   27.479   25.475   29.622
 0.13500D+12 0.15849D+14   0.0150   27.622   25.613   29.771
 0.13500D+12 0.17783D+14   0.0150   27.766   25.753   29.920
 0.13500D+12 0.19953D+14   0.0150   27.911   25.894   30.071
 0.13500D+12 0.22387D+14   0.0150   28.058   26.037   30.222
 0.13500D+12 0.25119D+14   0.0150   28.205   26.181   30.374
 0.13500D+12 0.28184D+14   0.0150   28.354   26.327   30.526
 0.13500D+12 0.31623D+14   0.0150   28.504   26.476   30.679
 0.13500D+12 0.35481D+14   0.0150   28.655   26.626   30.833
 0.13500D+12 0.39811D+14   0.0150   28.808   26.779   30.987
 0.13500D+12 0.44668D+14   0.0150   28.962   26.934   31.142
 0.13500D+12 0.50119D+14   0.0150   29.118   27.092   31.297
 0.13500D+12 0.56234D+14   0.0150   29.275   27.253   31.452
 0.13500D+12 0.63096D+14   0.0150   29.434   27.416   31.608
 0.13500D+12 0.70795D+14   0.0150   29.595   27.582   31.764
 0.13500D+12 0.79433D+14   0.0150   29.757   27.752   31.921
 0.13500D+12 0.89125D+14   0.0150   29.922   27.925   32.077
 0.13500D+12 0.10000D+15   0.0150   30.088   28.102   32.235
 0.13500D+12 0.11220D+15   0.0150   30.257   28.283   32.392
 0.13500D+12 0.12589D+15   0.0150   30.428   28.468   32.550
 0.13500D+12 0.14125D+15   0.0150   30.602   28.658   32.709
 0.13500D+12 0.15849D+15   0.0150   30.779   28.853   32.867
 0.13500D+12 0.17783D+15   0.0150   30.958   29.053   33.026
 0.13500D+12 0.19953D+15   0.0150   31.141   29.258   33.185
 0.13500D+12 0.22387D+15   0.0150   31.328   29.469   33.346
 0.13500D+12 0.25119D+15   0.0150   31.518   29.684   33.508
 0.13500D+12 0.28184D+15   0.0150   31.714   29.906   33.674
 0.13500D+12 0.31623D+15   0.0150   31.914   30.132   33.843
 0.13500D+12 0.35481D+15   0.0150   32.119   30.365   34.016
